days,jdflags
94,
43,
56,
42,
95,
81,
97,
83,
68,
54,
108,
134,
135,
41,
55,
69,
92,
86,
51,
45,
44,
50,
87,
85,
91,
46,
52,
47,
90,
84,
197,
154,
155,
196,
143,
157,
142,
195,
208,
146,
153,
147,
190,
192,
151,
145,
144,
150,
187,
203,
149,
202,
200,
189,
188,
201,
205,
198,
199,
204,
158,
207,
89,
62,
116,
102,
103,
63,
88,
49,
61,
101,
115,
114,
48,
70,
64,
110,
139,
111,
105,
65,
71,
98,
67,
113,
107,
106,
112,
72,
66,
99,
58,"[[2458058.2, 2458058.42]]"
59,"[[2458059.2, 2458059.45]]"
96,"[[2458096.2, 2458096.4], [2458096.45, 2458096.5]]"
104,"[[2458104.2, 2458104.27], [2458104.35, 2458104.45]]"
109,"[[2458109.2, 2458109.46]]"
114,"[[2458114.1, 2458114.32]]"
136,"[[2458136.2, 2458136.36]]"
140,"[[2458140.27, 2458140.33], [2458140.44, 2458140.47], [2458140.5, 2458140.58], [2458140.62, 2458140.7]]"
141,"[[2458141.3, 2458141.49], [2458141.25, 2458141.29]]"
148,"[[2458148.2, 2458148.33]]"
159,"[[2458159.2, 2458159.5]]"
161,"[[2458161.4, 2458161.55]]"
172,"[[2458172.2, 2458172.58]]"
173,"[[2458173.2, 2458173.37], [2458173.4, 2458173.5]]"
185,"[[2458185.35, 2458185.45]]"
206,"[[2458206.2, 2458206.28]]"
